Movie Title;description;release_year;rental_duration;rental_rate;replacement_cost;rating;Genre;Revenue;payment_date;rental_date;return_date
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/04/08 17:31:41.996577000;2005/07/08 19:03:15.000000000;2005/07/11 21:29:15.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;3.99;2007/03/21 19:56:09.996577000;2005/08/21 21:27:43.000000000;2005/08/30 22:26:43.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/04/07 09:09:57.996577000;2005/07/07 10:41:31.000000000;2005/07/11 06:25:31.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;1.99;2007/03/22 23:29:27.996577000;2005/08/23 01:01:01.000000000;2005/08/30 20:08:01.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/03/22 22:25:03.996577000;2005/08/22 23:56:37.000000000;2005/08/25 18:58:37.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/03/21 17:01:08.996577000;2005/08/21 18:32:42.000000000;2005/08/23 21:09:42.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/04/07 19:27:32.996577000;2005/07/07 20:59:06.000000000;2005/07/09 00:04:06.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/02/15 01:26:17.996577000;2005/06/15 02:57:51.000000000;2005/06/20 01:41:51.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;1.99;2007/04/29 08:10:04.996577000;2005/07/29 09:41:38.000000000;2005/08/05 05:30:38.000000000
Academy Dinosaur;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;2006;6;0.99;20.99;PG;Documentary;0.99;2007/04/30 20:36:55.996577000;2005/07/31 22:08:29.000000000;2005/08/06 16:59:29.000000000
Ace Goldfinger;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;3;4.99;12.99;G;Horror;4.99;2007/03/01 02:53:13.996577000;2005/08/01 04:24:47.000000000;2005/08/04 05:36:47.000000000
Ace Goldfinger;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;3;4.99;12.99;G;Horror;9.99;2007/04/28 03:33:13.996577000;2005/07/28 05:04:47.000000000;2005/08/05 05:12:47.000000000
Ace Goldfinger;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;2006;3;4.99;12.99;G;Horror;8.99;2007/03/02 03:09:43.996577000;2005/08/02 04:41:17.000000000;2005/08/09 02:13:17.000000000
Adaptation Holes;A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory;2006;7;2.99;18.99;NC-17;Documentary;2.99;2007/04/26 23:49:45.996577000;2005/07/27 01:21:19.000000000;2005/07/29 20:33:19.000000000
Adaptation Holes;A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory;2006;7;2.99;18.99;NC-17;Documentary;2.99;2007/03/02 14:13:36.996577000;2005/08/02 15:45:10.000000000;2005/08/03 21:14:10.000000000
