"film_id","inventory_id","rental_id","title","name","rental_date","return_date","rental_duration"
333,1525,2,"Freaky Pocus","Music","2005-05-24 22:54:33","2005-05-28 19:40:33",4
373,1711,3,"Graduate Lord","Children","2005-05-24 23:03:39","2005-06-01 22:12:39",8
535,2452,4,"Love Suicides","Horror","2005-05-24 23:04:41","2005-06-03 01:43:41",9
450,2079,5,"Idols Snatchers","Children","2005-05-24 23:05:21","2005-06-02 04:33:21",8
613,2792,6,"Mystic Truman","Comedy","2005-05-24 23:08:07","2005-05-27 01:32:07",2
870,3995,7,"Swarm Gold","Horror","2005-05-24 23:11:53","2005-05-29 20:34:53",5
510,2346,8,"Lawless Vision","Animation","2005-05-24 23:31:46","2005-05-27 23:33:46",3
565,2580,9,"Matrix Snowman","Foreign","2005-05-25 00:00:40","2005-05-28 00:22:40",3
396,1824,10,"Hanging Deep","Drama","2005-05-25 00:02:21","2005-05-31 22:44:21",7
971,4443,11,"Whale Bikini","Foreign","2005-05-25 00:09:02","2005-06-02 20:56:02",9
347,1584,12,"Games Bowfinger","Travel","2005-05-25 00:19:27","2005-05-30 05:44:27",5
499,2294,13,"King Evolution","Family","2005-05-25 00:22:55","2005-05-30 04:28:55",5
593,2701,14,"Monterey Labyrinth","Horror","2005-05-25 00:31:15","2005-05-26 02:56:15",1
670,3049,15,"Pelican Comforts","Documentary","2005-05-25 00:39:22","2005-06-03 03:30:22",9
86,389,16,"Boogie Amelie","Music","2005-05-25 00:43:11","2005-05-26 04:42:11",1
181,830,17,"Contact Anonymous","Travel","2005-05-25 01:06:36","2005-05-27 00:43:36",2
741,3376,18,"Roman Punk","Music","2005-05-25 01:10:47","2005-05-31 06:35:47",6
422,1941,19,"Hollow Jeopardy","Sci-Fi","2005-05-25 01:17:24","2005-05-31 06:00:24",6
770,3517,20,"Scissorhands Slums","Foreign","2005-05-25 01:48:41","2005-05-27 02:20:41",2
31,146,21,"Apache Divine","Family","2005-05-25 01:59:46","2005-05-26 01:01:46",1
159,727,22,"Closer Bang","Comedy","2005-05-25 02:19:23","2005-05-26 04:52:23",1
971,4441,23,"Whale Bikini","Foreign","2005-05-25 02:40:21","2005-05-29 06:34:21",4
721,3273,24,"Reds Pocus","Music","2005-05-25 02:53:02","2005-05-27 01:15:02",2
863,3961,25,"Sun Confessions","Sci-Fi","2005-05-25 03:21:20","2005-05-27 21:25:20",3
953,4371,26,"Wait Cider","Animation","2005-05-25 03:36:50","2005-05-31 00:34:50",6
271,1225,27,"Easy Gladiator","Action","2005-05-25 03:41:50","2005-05-30 01:13:50",5
887,4068,28,"Thief Pelican","Animation","2005-05-25 03:42:37","2005-05-26 09:26:37",1
132,611,29,"Chainsaw Uptown","Sci-Fi","2005-05-25 03:47:12","2005-05-30 00:31:12",5
819,3744,30,"Song Hedwig","Music","2005-05-25 04:01:32","2005-05-30 03:12:32",5
979,4482,31,"Witches Panic","Drama","2005-05-25 04:05:17","2005-05-30 07:15:17",5
839,3832,32,"Stallion Sundance","Sci-Fi","2005-05-25 04:06:21","2005-05-25 23:55:21",1
367,1681,33,"Goldmine Tycoon","Sci-Fi","2005-05-25 04:18:51","2005-05-27 03:58:51",2
