"payment_id","film_id","title","amount"
17503,749,"Rules Human",7.99
17504,552,"Majestic Floats",1.99
17505,551,"Maiden Home",7.99
17506,445,"Hyde Doctor",2.99
17507,563,"Massacre Usual",7.99
17508,26,"Annie Identity",5.99
17509,961,"Wash Heavenly",5.99
17510,527,"Lola Agent",5.99
17511,449,"Identity Lover",2.99
17512,639,"Opposite Necklace",4.99
17513,30,"Anything Savannah",6.99
17514,868,"Superfly Trip",0.99
17515,545,"Madness Attacks",0.99
17516,16,"Alley Evolution",6.99
17517,69,"Beverly Outlaw",8.99
17518,855,"Streak Ridgemont",0.99
17519,738,"Rocketeer Mother",3.99
17520,398,"Hanover Galaxy",4.99
17521,809,"Slipper Fidelity",0.99
17522,1,"Academy Dinosaur",0.99
17523,159,"Closer Bang",4.99
17524,436,"Hours Rage",0.99
17525,749,"Rules Human",4.99
17526,476,"Jason Trap",5.99
17527,906,"Tramp Others",2.99
17528,857,"Strictly Scarface",2.99
17529,61,"Beauty Grease",8.99
17530,663,"Patient Sister",0.99
17531,878,"Teen Apollo",4.99
17532,946,"Virtual Spoilers",8.99
17533,229,"Devil Desire",7.99
17534,232,"Dirty Ace",2.99
17535,170,"Command Darling",8.99
17536,697,"Primary Glass",0.99
17537,835,"Spy Mile",2.99
17538,149,"Christmas Moonshine",0.99
17539,334,"Freddy Storm",6.99
17540,680,"Pinocchio Simon",8.99
17541,160,"Club Graffiti",3.99
17542,402,"Harper Dying",0.99
17543,462,"Insider Arizona",2.99
17544,475,"Japanese Run",0.99
17545,832,"Splash Gump",5.99
17546,191,"Crooked Frogmen",0.99
17547,150,"Cider Desire",2.99
17548,807,"Sleuth Orient",0.99
17549,86,"Boogie Amelie",4.99
17550,403,"Harry Idaho",4.99
17551,31,"Apache Divine",4.99
17552,640,"Opus Ice",4.99
17553,690,"Pond Seattle",2.99
17554,757,"Sagebrush Clueless",7.99
17555,774,"Searchers Wait",6.99
17556,186,"Craft Outfield",0.99
17557,616,"National Story",4.99
17558,271,"Easy Gladiator",6.99
17559,761,"Santa Paris",2.99
17560,241,"Donnie Alley",0.99
17561,664,"Patriot Roman",2.99
17562,176,"Congeniality Quest",0.99
17563,788,"Ship Wonderland",2.99
17564,207,"Dangerous Uptown",4.99
17565,95,"Breakfast Goldfinger",5.99
17566,831,"Spirited Casualties",1.99
17567,629,"Notorious Reunion",1.99
17568,532,"Loser Hustler",6.99
17569,474,"Jade Bunch",2.99
17570,89,"Borrowers Bedazzled",0.99
17571,774,"Searchers Wait",5.99
17572,829,"Spinal Rocky",2.99
17573,337,"Frida Slipper",2.99
17574,447,"Ice Crossing",2.99
17575,255,"Driving Polish",4.99
17576,367,"Goldmine Tycoon",1.99
17577,17,"Alone Trip",0.99
17578,985,"Wonderland Christmas",4.99
17579,901,"Tracy Cider",0.99
17580,621,"Network Peak",6.99
17581,25,"Angels Life",3.99
17582,330,"Forrester Comancheros",6.99
17583,708,"Quills Bull",4.99
17584,641,"Orange Grapes",1.99
17585,468,"Invasion Cyclone",2.99
17586,344,"Fury Murder",2.99
17587,895,"Tomorrow Hustler",2.99
17588,368,"Gone Trouble",2.99
17589,850,"Story Side",2.99
17590,393,"Halloween Nuts",2.99
17591,356,"Giant Troopers",2.99
17592,964,"Waterfront Deliverance",4.99
17593,856,"Streetcar Intentions",4.99
17594,265,"Dying Maker",4.99
17595,938,"Velvet Terminator",4.99
17596,872,"Sweet Brotherhood",2.99
17597,463,"Instinct Airport",2.99
17598,880,"Telemark Heartbreakers",2.99
17599,898,"Tourist Pelican",4.99
17600,633,"October Submarine",4.99
17601,652,"Pajama Jawbreaker",3.99
17602,436,"Hours Rage",1.99
17603,745,"Roses Treasure",6.99
17604,426,"Home Pity",4.99
17605,288,"Escape Metropolis",2.99
17606,479,"Jedi Beneath",0.99
17607,890,"Tights Dawn",1.99
17608,531,"Lose Inch",0.99
17609,795,"Siege Madre",0.99
17610,341,"Frost Head",0.99
17611,260,"Dude Blindness",9.99
17612,167,"Coma Head",4.99
17613,84,"Boiled Dares",4.99
17614,985,"Wonderland Christmas",4.99
17615,504,"Kwai Homeward",4.99
17616,345,"Gables Metropolis",0.99
17617,563,"Massacre Usual",6.99
17618,789,"Shock Cabin",2.99
17619,54,"Banger Pinocchio",1.99
17620,990,"World Leathernecks",6.99
17621,668,"Peak Forever",5.99
17622,91,"Bound Cheaper",0.99
17623,432,"Hope Tootsie",3.99
17624,602,"Mourning Purple",0.99
17625,608,"Murder Antitrust",2.99
17626,911,"Trip Newton",4.99
17627,869,"Suspects Quills",3.99
17628,920,"Unbreakable Karate",6.99
17629,293,"Exorcist Sting",2.99
17630,454,"Impact Aladdin",1.99
17631,191,"Crooked Frogmen",1.99
17632,805,"Sleepless Monsoon",4.99
17633,51,"Balloon Homeward",2.99
17634,609,"Muscle Bright",2.99
17635,35,"Arachnophobia Rollercoaster",5.99
17636,871,"Sweden Shining",4.99
17637,164,"Coast Rainbow",0.99
17638,228,"Detective Vision",0.99
17639,25,"Angels Life",3.99
17640,23,"Anaconda Confessions",1.99
17641,970,"Westward Seabiscuit",0.99
17642,735,"Robbers Joon",2.99
17643,358,"Gilmore Boiled",4.99
17644,980,"Wizard Coldblooded",4.99
17645,776,"Secret Groundhog",5.99
17646,370,"Gorgeous Bingo",7.99
17647,867,"Super Wyoming",4.99
17648,284,"Enemy Odds",8.99
17649,689,"Pollock Deliverance",5.99
17650,235,"Divide Monster",2.99
17651,526,"Lock Rear",3.99
17652,748,"Rugrats Shakespeare",2.99
17653,283,"Ending Crowds",3.99
17654,628,"Northwest Polish",2.99
17655,102,"Bubble Grosse",4.99
17656,285,"English Bulworth",1.99
17657,821,"Sorority Queen",1.99
17658,791,"Show Lord",4.99
17659,425,"Holy Tadpole",3.99
17660,730,"Ridgemont Submarine",1.99
17661,59,"Bear Graceland",2.99
17662,604,"Mulan Moon",4.99
17663,993,"Wrong Behavior",2.99
17664,160,"Club Graffiti",0.99
17665,398,"Hanover Galaxy",4.99
17666,873,"Sweethearts Suspects",1.99
17667,561,"Mask Peach",2.99
17668,725,"Requiem Tycoon",4.99
17669,572,"Metropolis Coma",7.99
17670,109,"Butterfly Chocolat",2.99
17671,433,"Horn Working",2.99
17672,505,"Labyrinth League",2.99
17673,487,"Jingle Sagebrush",7.99
17674,188,"Crazy Home",2.99
17675,625,"None Spiking",0.99
17676,416,"Highball Potter",0.99
17677,614,"Name Detective",7.99
17678,838,"Stagecoach Armageddon",5.99
17679,600,"Motions Details",3.99
17680,670,"Pelican Comforts",9.99
17681,378,"Greatest North",4.99
17682,930,"Vacation Boondock",2.99
17683,281,"Encino Elf",0.99
17684,26,"Annie Identity",0.99
