"count","title","sum"
31,"Wife Turn",453
34,"Bucket Brotherhood",419
30,"Graffiti Love",414
28,"Trip Newton",401
27,"Primary Glass",399
30,"Married Go",399
31,"Apache Divine",399
31,"Hobbit Alien",397
31,"Network Peak",396
27,"Operation Operation",395
32,"Grit Clockwork",392
29,"Moon Bunch",392
30,"Butterfly Chocolat",391
28,"Story Side",391
29,"Talented Homicide",389
30,"Dogma Family",387
25,"Nightmare Chill",378
28,"Expendable Stallion",376
27,"Detective Vision",373
27,"Swarm Gold",371
31,"Robbers Joon",368
31,"Timberland Sky",368
24,"Goldfinger Sensibility",367
29,"Videotape Arsenic",362
29,"Storm Happiness",361
30,"English Bulworth",361
26,"Metropolis Coma",359
25,"Effect Gladiator",358
28,"Gilmore Boiled",357
27,"Horror Reign",357
26,"Malkovich Pet",353
32,"Scalawag Duck",349
28,"Voyage Legally",347
27,"Spy Mile",346
25,"Fish Opus",345
27,"Lose Inch",345
28,"Roses Treasure",343
26,"Hanky October",343
32,"Forward Temple",343
27,"Dorado Notting",343
26,"Tracy Cider",342
23,"Patton Interview",340
24,"Caper Motions",340
29,"Virginian Pluto",339
21,"Agent Truman",338
27,"Invasion Cyclone",337
33,"Rocketeer Mother",337
30,"Massacre Usual",337
26,"Brotherhood Blanket",336
27,"Wardrobe Phantom",336
24,"Drifter Commandments",336
25,"Samurai Lion",335
30,"Harry Idaho",335
27,"Telegraph Voyage",335
26,"Pocus Pulp",335
26,"Disturbing Scarface",335
29,"Enemy Odds",334
27,"Chance Resurrection",334
23,"Truman Crazy",333
27,"Loathing Legally",332
30,"Witches Panic",332
29,"Gleaming Jawbreaker",331
24,"Jumping Wrath",331
27,"Camelot Vacation",329
28,"Giant Troopers",329
24,"Strangelove Desire",328
24,"Jason Trap",328
30,"Idols Snatchers",326
22,"Borrowers Bedazzled",322
24,"Wedding Apollo",322
26,"Pelican Comforts",321
30,"Suspects Quills",321
29,"Boogie Amelie",321
23,"Kwai Homeward",320
25,"Show Lord",320
23,"Balloon Homeward",318
26,"Hyde Doctor",318
31,"Rush Goodfellas",317
32,"Juggler Hardly",316
31,"Zorro Ark",316
23,"Carrie Bunch",314
22,"Kiss Glory",313
